delta_time
8
9
30
52
36
78
38
27
23
34
37
30
31
10
37
35
17
34
59
32
13
14
11
38
31
55
32
32
31
41
42
53
34
34
35
35
33
33
33
27
28
25
42
33
24
8
33
63
28
51
10
64
107
50
50
44
38
38
37
37
34
58
18
41
45
14
42
14
36
42
28
36
35
28
76
76
59
32
31
152
41
40
40
40
39
37
37
34
32
31
31
55
53
52
45
41
38
37
37
34
34
34
34
34
34
33
33
33
33
39
32
33
33
31
34
34
14
54
46
60
48
54
46
54
46
46
38
38
32
45
39
26
41
21
20
61
35
42
34
42
36
41
112
85
71
55
0
48
47
35
43
42
41
40
40
36
35
35
35
28
35
0
14
85
34
33
34
35
35
35
34
34
64
50
117
33
1
40
56
1
97
48
0
42
26
26
41
97
0
0
1
35
0
38
56
3
0
105
20
55
48
0
2
2
1
2
2
2
0
43
43
36
1
2
0
0
1
0
1
35
36
1
42
2
2
66
0
43
2
1
1
3
50
0
1
2
0
1
1
1
1
0
2
36
36
37
39
1
3
3
3
48
40
142
2
62
3
4
137
51
45
45
5
3
46
41
4
3
39
75
68
5
2
2
5
2
60
4
4
4
5
5
39
2
59
5
44
48
4
2
6
3
46
46
6
45
40
40
0
39
3
54
4
76
4
6
5
45
4
4
61
4
4
4
3
40
4
40
40
3
4
45
3
34
7
6
6
6
6
5
5
5
5
5
5
5
5
5
5
5
4
4
4
4
4
4
4
4
4
3
3
3
3
3
3
3
3
3
42
50
27
26
25
47
47
0
47
6
4
4
40
40
41
40
5
40
39
39
3
6
0
316
6
3
172
157
6
6
6
4
6
5
46
103
0
0
3
88
0
82
0
71
71
26
8
7
6
6
4
47
5
4
4
7
6
59
5
4
4
4
7
6
6
6
5
5
5
4
3
4
5
39
39
1
7
7
7
3
6
6
6
5
5
5
4
4
3
3
5
6
5
5
53
1
7
6
77
7
5
4
0
0
7
0
6
6
6
4
4
4
6
5
4
5
71
7
0
138
5
35
35
60
7
5
42
4
6
46
7
5
32
6
4
5
5
48
5
5
7
6
4
4
4
4
48
5
5
4
4
7
7
6
6
6
6
6
5
5
5
4
48
5
57
5
5
8
7
7
7
5
6
4
4
5
5
7
5
6
6
7
5
5
5
5
4
5
7
5
5
5
5
6
7
6
6
7
6
7
7
6
0
41
6
6
5
6
6
5
29
4
4
4
7
1
7
7
7
7
7
6
5
4
5
4
2
6
6
5
7
1
7
117
118
8
1
44
6
6
7
6
6
5
146
6
121
8
105
104
104
6
99
97
76
71
71
5
28
62
6
98
69
6
43
57
2
42
54
54
8
5
1
54
50
5
33
50
7
6
6
6
6
5
49
48
8
8
7
7
5
62
5
43
51
7
41
41
5
7
5
8
7
42
42
5
0
42
0
5
42
2
41
5
41
5
5
9
8
5
8
8
7
8
8
8
8
7
7
7
6
7
5
6
7
7
2
2
7
6
7
7
2
6
6
9
8
7
6
6
6
6
6
6
6
6
6
2
6
3
6
1
3
1
2
71
70
70
69
69
66
66
63
62
58
52
51
49
48
45
44
43
43
6
9
6
6
7
9
7
7
6
3
3
3
2
2
8
9
8
7
2
9
8
8
8
8
8
7
8
7
7
7
7
7
7
6
6
6
6
7
55
7
10
7
10
3
52
7
7
7
6
6
6
6
4
9
43
63
80
3
3
1
8
2
2
2
2
3
2
2
0
1
69
56
56
51
51
44
0
92
1
1
1
0
1
2
2
7
10
30
2
1
9
3
1
2
2
2
8
2
6
7
7
2
7
7
3
7
2
3
4
9
3
2
7
1
8
1
1
1
7
4
77
0
3
4
7
44
5
5
54
5
2
9
53
5
6
12
12
4
5
3
3
3
3
9
3
4
63
6
6
11
12
66
11
46
39
5
11
4
4
2
6
2
7
6
5
5
7
12
10
4
52
9
3
2
3
5
6
11
11
11
11
11
11
10
9
11
47
10
12
11
10
10
10
10
12
11
10
11
80
6
-1
11
6
5
10
4
4
3
3
7
5
11
