delta_time,proportion
23,6.178343949044586
22,6.082802547770701
27,6.082802547770701
26,4.872611464968153
28,4.203821656050955
24,4.171974522292993
25,4.044585987261146
34,3.248407643312102
35,3.0573248407643314
33,2.547770700636943
29,2.515923566878981
30,2.4840764331210194
32,2.388535031847134
40,2.2929936305732483
42,2.1019108280254777
41,2.1019108280254777
36,1.8471337579617835
31,1.8152866242038217
39,1.7515923566878981
37,1.5605095541401275
38,1.5286624203821657
48,1.4649681528662422
49,1.2738853503184715
47,1.1146496815286624
55,1.0509554140127388
46,1.019108280254777
43,0.9872611464968153
54,0.9554140127388535
50,0.9554140127388535
62,0.89171974522293
56,0.8598726114649682
51,0.7961783439490446
63,0.7961783439490446
44,0.7961783439490446
45,0.7324840764331211
53,0.6687898089171975
60,0.6369426751592357
71,0.605095541401274
57,0.605095541401274
58,0.605095541401274
69,0.605095541401274
52,0.5732484076433121
59,0.5732484076433121
64,0.5732484076433121
76,0.5414012738853503
70,0.5414012738853503
68,0.4140127388535032
66,0.3821656050955414
61,0.35031847133757965
90,0.3184713375796179
78,0.3184713375796179
77,0.3184713375796179
67,0.28662420382165604
82,0.28662420382165604
81,0.28662420382165604
65,0.25477707006369427
75,0.25477707006369427
79,0.25477707006369427
72,0.25477707006369427
-1,0.2229299363057325
98,0.2229299363057325
74,0.2229299363057325
85,0.2229299363057325
83,0.2229299363057325
73,0.2229299363057325
84,0.1910828025477707
88,0.1910828025477707
80,0.1910828025477707
117,0.1910828025477707
105,0.1910828025477707
106,0.1910828025477707
86,0.1910828025477707
110,0.1910828025477707
118,0.15923566878980894
91,0.15923566878980894
92,0.15923566878980894
153,0.15923566878980894
95,0.15923566878980894
97,0.15923566878980894
96,0.15923566878980894
112,0.15923566878980894
89,0.12738853503184713
103,0.12738853503184713
87,0.12738853503184713
93,0.12738853503184713
100,0.12738853503184713
99,0.12738853503184713
122,0.12738853503184713
102,0.12738853503184713
94,0.09554140127388536
104,0.09554140127388536
115,0.09554140127388536
181,0.09554140127388536
137,0.09554140127388536
128,0.09554140127388536
188,0.09554140127388536
138,0.09554140127388536
151,0.06369426751592357
167,0.06369426751592357
162,0.06369426751592357
242,0.06369426751592357
124,0.06369426751592357
113,0.06369426751592357
101,0.06369426751592357
125,0.06369426751592357
108,0.06369426751592357
114,0.06369426751592357
109,0.06369426751592357
152,0.06369426751592357
146,0.06369426751592357
132,0.06369426751592357
127,0.06369426751592357
147,0.06369426751592357
120,0.06369426751592357
142,0.06369426751592357
136,0.06369426751592357
-4,0.03184713375796178
-7,0.03184713375796178
-9,0.03184713375796178
-30,0.03184713375796178
107,0.03184713375796178
121,0.03184713375796178
111,0.03184713375796178
116,0.03184713375796178
123,0.03184713375796178
143,0.03184713375796178
135,0.03184713375796178
126,0.03184713375796178
129,0.03184713375796178
139,0.03184713375796178
157,0.03184713375796178
154,0.03184713375796178
165,0.03184713375796178
168,0.03184713375796178
172,0.03184713375796178
173,0.03184713375796178
175,0.03184713375796178
130,0.03184713375796178
133,0.03184713375796178
131,0.03184713375796178
180,0.03184713375796178
179,0.03184713375796178
178,0.03184713375796178
186,0.03184713375796178
194,0.03184713375796178
196,0.03184713375796178
197,0.03184713375796178
193,0.03184713375796178
206,0.03184713375796178
210,0.03184713375796178
211,0.03184713375796178
212,0.03184713375796178
215,0.03184713375796178
217,0.03184713375796178
230,0.03184713375796178
200,0.03184713375796178
232,0.03184713375796178
238,0.03184713375796178
252,0.03184713375796178
265,0.03184713375796178
266,0.03184713375796178
273,0.03184713375796178
276,0.03184713375796178
300,0.03184713375796178
316,0.03184713375796178
347,0.03184713375796178
350,0.03184713375796178
364,0.03184713375796178
374,0.03184713375796178
377,0.03184713375796178
397,0.03184713375796178
407,0.03184713375796178
